Organization_A,Organization_B,Initiative_A,Initiative_B,Similarity_Score,Cluster_A,Cluster_B,Same_Cluster
Bankenverband,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7503649,3,3,True
Adrien Cadiot EI,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.74937296,1,1,True
Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7479812,1,3,False
Adrien Cadiot EI,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7477392,1,3,False
Adrien Cadiot EI,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7473445,1,1,True
SUEZ,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7460752,2,2,True
Agroecology Europe,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.74457943,3,3,True
F Hanna Campbell,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.74433136,3,3,True
CHEM Trust,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7442369,3,3,True
Egmont - Royal Institute for International Relations,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.74379915,3,1,False
Bankenverband,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7435556,3,3,True
Agroecology Europe,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7422581,3,3,True
Ioannis Lamprou,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.73857164,3,1,False
Ioannis Lamprou,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7365006,3,1,False
ECOLAB,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.73647463,2,2,True
NA,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.73587835,1,1,True
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7310598,3,3,True
Egmont - Royal Institute for International Relations,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7306825,3,1,False
Adrien Cadiot EI,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7296182,1,3,False
EuroStack Project,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7280229,3,1,False
AMALIA MARIA KOUTSOGIANNI,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7274407,1,1,True
Agroecology Europe,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.72614574,3,1,False
Adrien Cadiot EI,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.72583663,1,3,False
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7258243,1,1,True
EuroStack Project,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.72578347,3,1,False
Instituto Nacional de Administração IP Portugal,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7247561,3,3,True
Sanja Terlevic,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7245765,2,1,False
EuroStack Project,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7242919,3,3,True
AMALIA MARIA KOUTSOGIANNI,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7238313,1,1,True
Adrien Cadiot EI,Agroecology Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.72294277,1,3,False
Agroecology Europe,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7226387,3,3,True
Agroecology Europe,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7223945,3,1,False
Egmont - Royal Institute for International Relations,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7182082,3,3,True
Egmont - Royal Institute for International Relations,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7168559,3,1,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7162134,3,3,True
NA,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7159717,1,1,True
TNO,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.715119,3,1,False
Kieran DALTON,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.714247,2,1,False
AMALIA MARIA KOUTSOGIANNI,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.71221316,1,1,True
Agroecology Europe,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.71118546,3,3,True
Adrien Cadiot EI,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7108935,1,3,False
CHEM Trust,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7095059,3,3,True
Transfer Pricing Services SRL,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7089809,1,1,True
Bankenverband,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7088273,3,3,True
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.70881414,3,1,False
Egmont - Royal Institute for International Relations,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7086601,3,3,True
NA,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7079507,1,3,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.70787585,3,1,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7075551,3,3,True
Agroecology Europe,Bankenverband,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.70703006,3,3,True
Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7064701,1,1,True
Kevin Bradley,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7061515,2,3,False
EuroStack Project,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7061335,3,3,True
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7046294,3,3,True
Bankenverband,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7012132,3,1,False
Agroecology Europe,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7003474,3,1,False
CHEM Trust,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7000142,3,3,True
Anonymous,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6998029,1,3,False
Ioannis Lamprou,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.69915533,3,1,False
EuroStack Project,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.695485,3,3,True
Adrien Cadiot EI,AMALIA MARIA KOUTSOGIANNI,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.69394076,1,1,True
Agroecology Europe,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6934314,3,3,True
Adrien Cadiot EI,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6932337,1,1,True
Agroecology Europe,CHEM Trust,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6919214,3,3,True
EuroStack Project,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6918633,3,1,False
TNO,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.68974584,3,1,False
Adrien Cadiot EI,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6897079,1,3,False
NA,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6882913,1,2,False
F Hanna Campbell,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6879109,3,3,True
Adrien Cadiot EI,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6871983,1,1,True
Bankenverband,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.68451536,3,3,True
Agroecology Europe,EUPHA European Public Health Association,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6816526,3,3,True
Kieran DALTON,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.68146473,2,1,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.68018293,3,1,False
AMALIA MARIA KOUTSOGIANNI,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.67993975,1,1,True
F Hanna Campbell,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.67972434,3,1,False
Anonymous,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6792262,1,3,False
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6781881,1,1,True
F Hanna Campbell,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6780963,3,1,False
Egmont - Royal Institute for International Relations,EUPHA European Public Health Association,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.67701995,3,3,True
F Hanna Campbell,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6749306,3,2,False
Agroecology Europe,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6744973,3,2,False
Sanja Terlevic,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.67447877,2,3,False
EuroStack Project,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.67438775,3,1,False
Adrien Cadiot EI,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.67387205,1,3,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6719467,3,1,False
CHEM Trust,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6705274,3,1,False
CHEM Trust,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6686107,3,3,True
Instituto Nacional de Administração IP Portugal,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.66855735,3,1,False
Bankenverband,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.66800576,3,1,False
Anonymous,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.66711885,1,1,True
Adrien Cadiot EI,Bankenverband,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.66615254,1,3,False
AMALIA MARIA KOUTSOGIANNI,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6659891,1,3,False
EUPHA European Public Health Association,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.66407526,3,3,True
F Hanna Campbell,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.66156095,3,1,False
Adrien Cadiot EI,CHEM Trust,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.66107595,1,3,False
EuroStack Project,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.66102344,3,2,False
Instituto Nacional de Administração IP Portugal,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6595285,3,3,True
EuroStack Project,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.65911376,3,3,True
Bankenverband,CHEM Trust,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.65815276,3,3,True
Bankenverband,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6564304,3,2,False
Kieran DALTON,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.65497994,2,1,False
Ioannis Lamprou,Kevin Bradley,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6543158,3,2,False
NA,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.65344363,1,1,True
Joni Suikeli,Kansaneläkelaitos Kela,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6533731,0,0,True
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6531994,1,1,True
Anonymous_3,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6531966,2,2,True
Francisco José Viturro Barreiro,José Luis Rajab_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6522616,4,4,True
Francisco José Viturro Barreiro,José Luis Rajab,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6522616,4,4,True
Instituto Nacional de Administração IP Portugal,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6520103,3,3,True
Bankenverband,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6518883,3,1,False
Adrien Cadiot EI,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6517872,1,2,False
CHEM Trust,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6501192,3,3,True
Association internationale Futuribles,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6492542,3,3,True
Anonymous,Bankenverband,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.64829934,1,3,False
Anonymous,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.64819974,1,1,True
F Hanna Campbell,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.64738435,3,3,True
Egmont - Royal Institute for International Relations,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6469661,3,2,False
CHEM Trust,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.64477736,3,1,False
AMALIA MARIA KOUTSOGIANNI,Anonymous,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.64439356,1,1,True
Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.64360577,1,2,False
F Hanna Campbell,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6434245,3,1,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,EUPHA European Public Health Association,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6416527,3,3,True
Anonymous_3,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.640294,2,1,False
Kieran DALTON,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6402542,2,3,False
Adrien Cadiot EI,Association internationale Futuribles,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6402035,1,3,False
Kieran DALTON,Nicolas Overloop,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6397152,2,2,True
Association internationale Futuribles,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6394211,3,3,True
Ioannis Lamprou,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.63861895,3,2,False
Instituto Nacional de Administração IP Portugal,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6383499,3,1,False
Egmont - Royal Institute for International Relations,Kevin Bradley,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6375106,3,2,False
CHEM Trust,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.63687074,3,3,True
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.63673013,1,2,False
Anonymous,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.63669425,1,2,False
Kevin Bradley,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6361012,2,1,False
Anonymous,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.63598585,1,3,False
CHEM Trust,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6355993,3,1,False
Agroecology Europe,Association internationale Futuribles,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6354763,3,3,True
Agroecology Europe,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6352943,3,3,True
EUPHA European Public Health Association,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.63459885,3,1,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6312502,3,3,True
Esteban Carlos Borzino,Francisco José Viturro Barreiro,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.63070714,4,4,True
Ioannis Lamprou,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.63041896,3,3,True
TNO,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.630115,3,3,True
Adrien Cadiot EI,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.62950176,1,3,False
Instituto Nacional de Administração IP Portugal,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.62643504,3,1,False
EuroStack Project,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6255028,3,2,False
Instituto Nacional de Administração IP Portugal,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.62513876,3,3,True
AMALIA MARIA KOUTSOGIANNI,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6250714,1,2,False
Kevin Bradley,Nicolas Overloop,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.62446445,2,2,True
EuroStack Project,Kevin Bradley,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6243545,3,2,False
Kevin Bradley,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.62417626,2,1,False
Association internationale Futuribles,Gaël QUEINNEC,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6236502,3,4,False
Egmont - Royal Institute for International Relations,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.623424,3,2,False
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.62308574,1,1,True
Agroecology Europe,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.62204754,3,2,False
Bankenverband,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6219226,3,3,True
Association internationale Futuribles,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6214605,3,3,True
F Hanna Campbell,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.62128437,3,3,True
Egmont - Royal Institute for International Relations,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6206243,3,3,True
Bankenverband,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.61951435,3,3,True
David Van Geert,Nicolas Overloop,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6195085,2,2,True
Kieran DALTON,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.61886704,2,2,True
Anonymous,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6180655,1,2,False
AMALIA MARIA KOUTSOGIANNI,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6171067,1,3,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6160872,3,2,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6158743,3,3,True
Instituto Nacional de Administração IP Portugal,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6149954,3,3,True
CHEM Trust,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6145521,3,3,True
EUPHA European Public Health Association,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.61307454,3,3,True
Anonymous_11,Anonymous_6,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6130243,4,4,True
CHEM Trust,EUPHA European Public Health Association,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6129835,3,3,True
Association internationale Futuribles,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6124732,3,3,True
Kevin Bradley,Nicolas Overloop_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6116105,2,2,True
AMALIA MARIA KOUTSOGIANNI,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6103147,1,3,False
Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6080515,1,2,False
Ministry of the Economy Luxembourg,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.60735434,3,3,True
Kevin Bradley,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.60712075,2,2,True
Sanja Terlevic,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6040708,2,1,False
AMALIA MARIA KOUTSOGIANNI,CHEM Trust,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.60391504,1,3,False
Anonymous_5,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6036241,2,2,True
David Van Geert,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6029512,2,2,True
Kieran DALTON,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.60286355,2,1,False
EuroStack Project,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.60273004,3,3,True
Egmont - Royal Institute for International Relations,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6018348,3,3,True
Bankenverband,Kevin Bradley,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6018135,3,2,False
AMALIA MARIA KOUTSOGIANNI,Bankenverband,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.6007901,1,3,False
Anonymous_1,Anonymous_9,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5984687,4,4,True
CHEM Trust,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.5982243,3,2,False
Egmont - Royal Institute for International Relations,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.59776807,3,3,True
