CFG_Submission,CFG_Initiative,CFG_Cluster,Compared_Organization,Compared_Initiative,Compared_Cluster,Similarity_Score,Same_Cluster
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Aktantis,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6906371116638184,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Cologne Chip AG,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6898297667503357,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Global Electronics Association,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6856972575187683,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,European Space Component Coordination Component Technology Board,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6848958730697632,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,SEMI Europe,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6840704679489136,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Brabant Development Agency BOM,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6830243468284607,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Oost NL ea,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6801044940948486,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Aalto University,Evaluation and Revision of the Chips Act Chips Act 20,7,0.674385130405426,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Kalray,Evaluation and Revision of the Chips Act Chips Act 20,3,0.670611560344696,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Andre REBENTISCH,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6698838472366333,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Tampere Region EU Office,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6698077917098999,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Acció - the Catalan Government agency for business competitiveness,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6698077917098999,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Austrian Federal Economic Chamber,Evaluation and Revision of the Chips Act Chips Act 20,3,0.664929986000061,True
The Centre for Future Generations,2025 Strategic Foresight Report,4,EUPHA European Public Health Association,2025 Strategic Foresight Report,4,0.6640752553939819,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Semiconductor Industry Association,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6638306379318237,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Anonymous_4,Evaluation and Revision of the Chips Act Chips Act 20,0,0.6630266308784485,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Estonian Electronics Industries Association,Evaluation and Revision of the Chips Act Chips Act 20,3,0.662959098815918,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Adeon Technologies BV,Evaluation and Revision of the Chips Act Chips Act 20,7,0.661206066608429,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Kai Schmitz,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6611151099205017,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Twente,Evaluation and Revision of the Chips Act Chips Act 20,0,0.660010039806366,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,KTH Royal Institute of Technology,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6587876081466675,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Tartu,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6505460739135742,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,PolicyPhantom UNKNOWN,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6501420736312866,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Eclipse Foundation AISBL,Evaluation and Revision of the Chips Act Chips Act 20,3,0.646492600440979,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Spanish Working Group on European Chips Act 20,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6458340883255005,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Tesat,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6443502902984619,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Fachverband Elektronikdesign und -fertigung e V,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6442204117774963,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,NOVAPACK TECHNOLOGIES,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6433877348899841,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Arm,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6394228339195251,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,IG Metall,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6383185982704163,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Bavarian Ministry of Economic Affairs Regional Development and Energy,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6373448371887207,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,TNO,2025 Strategic Foresight Report,6,0.6341267824172974,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,DSI Aerospace GmbH,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6323806643486023,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Las Palmas de Gran Canaria,Evaluation and Revision of the Chips Act Chips Act 20,0,0.6317231059074402,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Nicolas Overloop,Evaluation and Revision of the Chips Act Chips Act 20,0,0.6274477243423462,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Siemens AG,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6271325349807739,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,FHNW,Evaluation and Revision of the Chips Act Chips Act 20,0,0.6253993511199951,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Axis Communications,Evaluation and Revision of the Chips Act Chips Act 20,0,0.6244937181472778,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Tim CUMMINS,Evaluation and Revision of the Chips Act Chips Act 20,0,0.623336672782898,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,CNES_1,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6219324469566345,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Twente_1,Evaluation and Revision of the Chips Act Chips Act 20,0,0.6178719997406006,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Francoise Chombar,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6169703006744385,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,German Association of the Automotive Industry VDA,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6168420910835266,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Tampere University,Evaluation and Revision of the Chips Act Chips Act 20,0,0.6159101724624634,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Svensk Elektronik - The Swedish Electronics Trade Association,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6153408288955688,True
The Centre for Future Generations,2025 Strategic Foresight Report,4,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,10,0.6149954199790955,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,GdR SOC2 CNRS,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6129319667816162,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Europe India Centre for Business and Industry OU,Evaluation and Revision of the Chips Act Chips Act 20,7,0.6106606125831604,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,CSEM,Evaluation and Revision of the Chips Act Chips Act 20,0,0.6063066720962524,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,ChipsWIN Imagine Microelectronics srl,Evaluation and Revision of the Chips Act Chips Act 20,5,0.6032981276512146,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Granada,Evaluation and Revision of the Chips Act Chips Act 20,5,0.6016422510147095,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Ulm,Evaluation and Revision of the Chips Act Chips Act 20,0,0.6009136438369751,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,European Semiconductor Industry Association,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6006425619125366,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Lace Lithography AS,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5982961654663086,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,European Space Agency,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5972374081611633,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Hellenic Emerging Technologies Industry Association - HETiA,Evaluation and Revision of the Chips Act Chips Act 20,5,0.596472978591919,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Dublin City University,Evaluation and Revision of the Chips Act Chips Act 20,0,0.5956059694290161,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Eaton,Evaluation and Revision of the Chips Act Chips Act 20,3,0.5955196619033813,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,TLT-PCB,Evaluation and Revision of the Chips Act Chips Act 20,7,0.595248281955719,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Wacker Chemie AG,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5945208072662354,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,FOSSi Foundation,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5943008661270142,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Katarzyna Kobylińska,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5940003395080566,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,WISE srl,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5934016704559326,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Nomenil BV,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5931273102760315,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Cistelaier SPA,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5908482670783997,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,KSG GmbH,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5892103910446167,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Cimulec Group,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5887295603752136,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Vilnius Tech,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5876909494400024,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Nicolas Overloop_1,Evaluation and Revision of the Chips Act Chips Act 20,0,0.5862655639648438,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Fraunhofer IZM,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5859999060630798,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,PROTAVIC INTERNATIONAL,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5858618021011353,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Research Council of Norway,Evaluation and Revision of the Chips Act Chips Act 20,0,0.5856592059135437,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Agroecology Europe,2025 Strategic Foresight Report,10,0.5810737013816833,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,NCAB GROUP AB,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5810302495956421,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,SENER Aeroespace  Defense TAFS,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5799703001976013,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,TNO,2025 Strategic Foresight Report,6,0.5790255069732666,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Heidelberg University,Evaluation and Revision of the Chips Act Chips Act 20,0,0.5777955055236816,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,The Swedish Agency for Economic and Regional Growth,Evaluation and Revision of the Chips Act Chips Act 20,3,0.574203372001648,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,KDPOF,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5708862543106079,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Water Europe,Evaluation and Revision of the Chips Act Chips Act 20,3,0.5702998042106628,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Politecnico di Torino_2,Evaluation and Revision of the Chips Act Chips Act 20,0,0.5702643394470215,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Trinity College Dublin,Evaluation and Revision of the Chips Act Chips Act 20,0,0.569428026676178,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Techno-Service SA,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5664529204368591,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Rico Schluter,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5659241080284119,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Universidad Politecnica Madrid,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5656267404556274,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,F Hanna Campbell,2025 Strategic Foresight Report,6,0.5648285150527954,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,VDMA eV,Evaluation and Revision of the Chips Act Chips Act 20,3,0.5637938380241394,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Air Liquide,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5635716319084167,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Bath_1,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5625834465026855,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Didier Theron,Evaluation and Revision of the Chips Act Chips Act 20,0,0.5606493949890137,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,LIRMM - University of Montpellier,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5602580904960632,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Anonymous_1,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5598131418228149,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Synopsys,Evaluation and Revision of the Chips Act Chips Act 20,3,0.55775386095047,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Kevin Bradley,2025 Strategic Foresight Report,6,0.5572206974029541,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Jochen LANGHEIM,Evaluation and Revision of the Chips Act Chips Act 20,3,0.5559548735618591,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Istanbul Chamber of Commerce,Evaluation and Revision of the Chips Act Chips Act 20,7,0.555506706237793,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,AUMOVIO SE,Evaluation and Revision of the Chips Act Chips Act 20,3,0.553697943687439,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Modena and Reggio Emilia UNIMORE,Evaluation and Revision of the Chips Act Chips Act 20,0,0.55288165807724,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,CCI Dresden,Evaluation and Revision of the Chips Act Chips Act 20,3,0.5505165457725525,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Marek Piechocinski,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5483111143112183,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,HENSOLDT AG,Evaluation and Revision of the Chips Act Chips Act 20,0,0.5452447533607483,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,CLEPA - European Association of Automotive Suppliers,Evaluation and Revision of the Chips Act Chips Act 20,0,0.5452005863189697,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,10,0.5436830520629883,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Finnish Chip Competence Centre,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5435941815376282,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,10,0.543331503868103,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,CHEM Trust,2025 Strategic Foresight Report,10,0.542756199836731,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Andreas KOCH,Evaluation and Revision of the Chips Act Chips Act 20,0,0.5414899587631226,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Anonymous_8,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5395925641059875,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,EVIDEN  Bull SAS,Evaluation and Revision of the Chips Act Chips Act 20,3,0.5372075438499451,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Presto Engineering Group,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5371803045272827,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Anonymous_5,Evaluation and Revision of the Chips Act Chips Act 20,0,0.537081241607666,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Fraunhofer IPMS,Evaluation and Revision of the Chips Act Chips Act 20,3,0.5364086627960205,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Aerospace Valley,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5357218980789185,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Nicolas Overloop,2025 Strategic Foresight Report,6,0.5331192016601562,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Viscom SE,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5316367745399475,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,ASP Equipment GmbH,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5314866900444031,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Anonymous_6,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5290963649749756,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,ROMA Consulting and Coaching,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5278540849685669,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Politecnico di Torino_3,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5250969529151917,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,TRUMPF SE  Co KG,Evaluation and Revision of the Chips Act Chips Act 20,9,0.5238685607910156,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,SPARC FOUNDRY,Evaluation and Revision of the Chips Act Chips Act 20,9,0.5222688913345337,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Photonics21 Association,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5193836688995361,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,TNO,Evaluation and Revision of the Chips Act Chips Act 20,0,0.5168718099594116,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Ioannis Lamprou,2025 Strategic Foresight Report,6,0.5163072347640991,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Deutsche Industrie- und Handelskammer,Evaluation and Revision of the Chips Act Chips Act 20,9,0.5150536894798279,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,GROUP ACB,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5117958784103394,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,10,0.510384202003479,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Sanja Terlevic,2025 Strategic Foresight Report,6,0.5103306770324707,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Norbert Herfurth,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5082589983940125,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Leibniz University Hannover,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5079129338264465,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,CNES,Evaluation and Revision of the Chips Act Chips Act 20,7,0.5044397711753845,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Bankenverband,2025 Strategic Foresight Report,6,0.5040588974952698,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,UCLouvain,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5035780668258667,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Bath,Evaluation and Revision of the Chips Act Chips Act 20,0,0.503398060798645,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,SLICE Semiconductor,Evaluation and Revision of the Chips Act Chips Act 20,5,0.503381073474884,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Adrien Cadiot EI,2025 Strategic Foresight Report,6,0.5028346180915833,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Sanja Terlevic,2025 Strategic Foresight Report,6,0.5026959180831909,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,NANO-electronic - UiO,Evaluation and Revision of the Chips Act Chips Act 20,5,0.5001404285430908,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Ecole des Mines de Saint-Etienne,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4999646544456482,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,NA,2025 Strategic Foresight Report,6,0.4991355538368225,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Logiicdev GmbH_1,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4985952377319336,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Voxelsensors,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4962198734283447,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,EuroStack Project,2025 Strategic Foresight Report,6,0.49409300088882446,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,AESEMI Asociacion Española de la Industria de Semiconductores,Evaluation and Revision of the Chips Act Chips Act 20,3,0.49218109250068665,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,OHB System AG,Evaluation and Revision of the Chips Act Chips Act 20,7,0.4920293986797333,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,qurv,Evaluation and Revision of the Chips Act Chips Act 20,5,0.48942363262176514,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Aarhus University Department of Electrical  Computer Engineering,Evaluation and Revision of the Chips Act Chips Act 20,0,0.4877208173274994,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,10,0.487656831741333,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Leibniz-Institut für Kristallzüchtung,Evaluation and Revision of the Chips Act Chips Act 20,5,0.4873225688934326,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,F Hanna Campbell,2025 Strategic Foresight Report,6,0.4856129586696625,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Nicolas Overloop_1,2025 Strategic Foresight Report,6,0.48539069294929504,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,NA,2025 Strategic Foresight Report,6,0.4840991497039795,False
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,UPVEHU,Evaluation and Revision of the Chips Act Chips Act 20,5,0.48392730951309204,False
The Centre for Future Generations,2025 Strategic Foresight Report,4,Transfer Pricing Services SRL,2025 Strategic Foresight Report,6,0.48321056365966797,False
